system:index,UNIT_ID,NUMBER,count,NUMBER0,AREA_CODE,FILE_NAME,NAME,EPC_kWh_m2,CODE,AREA,epc_save,TYPE_COD0,HECTARES,DESCRIPT0,TYPE_CODE,DESCRIPT1,POLYGON_ID,DESCRIPTIO
0,179865,5939,160,5939,DIW,CAMBRIDGESHIRE_COUNTY,Trumpington,159,E05013062,0,25,,619.711,CIVIL VOTING AREA,VA,,139620,District Ward
1,179866,5940,82,5940,DIW,CAMBRIDGESHIRE_COUNTY,Newnham,263,E05013058,0,34,,485.347,CIVIL VOTING AREA,VA,,139621,District Ward
2,179868,5941,143,5941,DIW,CAMBRIDGESHIRE_COUNTY,East Chesterton,238,E05013055,0,37,,261.537,CIVIL VOTING AREA,VA,,139623,District Ward
3,179869,5942,119,5942,DIW,CAMBRIDGESHIRE_COUNTY,Queen Edith's,236,E05013060,0,35,,451.861,CIVIL VOTING AREA,VA,,139624,District Ward
4,179870,5943,126,5943,DIW,CAMBRIDGESHIRE_COUNTY,Market,269,E05013057,0,36,,215.068,CIVIL VOTING AREA,VA,,139625,District Ward
5,180332,5944,136,5944,DIW,CAMBRIDGESHIRE_COUNTY,West Chesterton,272,E05013063,0,37,,153.966,CIVIL VOTING AREA,VA,,140087,District Ward
6,179873,5945,156,5945,DIW,CAMBRIDGESHIRE_COUNTY,King's Hedges,233,E05013056,0,42,,167.146,CIVIL VOTING AREA,VA,,139628,District Ward
7,179874,5946,105,5946,DIW,CAMBRIDGESHIRE_COUNTY,Coleridge,227,E05013054,0,34,,193.326,CIVIL VOTING AREA,VA,,139629,District Ward
8,179875,5947,115,5947,DIW,CAMBRIDGESHIRE_COUNTY,Cherry Hinton,251,E05013053,0,48,,383.03,CIVIL VOTING AREA,VA,,139630,District Ward
9,179876,5948,131,5948,DIW,CAMBRIDGESHIRE_COUNTY,Abbey,241,E05013050,0,34,,390.591,CIVIL VOTING AREA,VA,,139631,District Ward
10,179877,5949,145,5949,DIW,CAMBRIDGESHIRE_COUNTY,Petersfield,237,E05013059,0,34,,162.055,CIVIL VOTING AREA,VA,,139632,District Ward
11,179878,5950,100,5950,DIW,CAMBRIDGESHIRE_COUNTY,Romsey,262,E05013061,0,40,,148.623,CIVIL VOTING AREA,VA,,139633,District Ward
12,180331,6017,132,6017,DIW,CAMBRIDGESHIRE_COUNTY,Arbury,247,E05013051,0,38,,146.367,CIVIL VOTING AREA,VA,,140086,District Ward
13,180333,6018,75,6018,DIW,CAMBRIDGESHIRE_COUNTY,Castle,238,E05013052,0,31,,291.25,CIVIL VOTING AREA,VA,,140088,District Ward
